        USD    EURO    RUB     KZT    CNY     GBP
Buy   84.79  101.57  1.100  0.1890  11.35  107.00
Sell  84.90  102.92  1.117  0.2054  13.45  117.50        USD    EURO    RUB     KZT    CNY     GBP
Buy   84.79  101.57  1.100  0.1890  11.35  107.00
Sell  84.90  102.92  1.117  0.2054  13.45  117.50        USD    EURO    RUB     KZT    CNY     GBP
Buy   84.79  101.57  1.100  0.1890  11.35  107.00
Sell  84.90  102.92  1.117  0.2054  13.45  117.50          USD      EURO      RUB       KZT      CNY       GBP
Buy   84.79\n  101.57\n  1.099\n  0.1890\n  11.35\n  107.00\n
Sell  84.90\n  102.92\n  1.117\n  0.2054\n  13.45\n  117.50\n          USD      EURO      RUB       KZT      CNY       GBP
Buy   84.79\n  101.57\n  1.099\n  0.1890\n  11.35\n  107.00\n
Sell  84.90\n  102.92\n  1.117\n  0.2054\n  13.45\n  117.50\n        USD    EURO    RUB     KZT    CNY     GBP
Buy   84.78  101.52  1.101  0.1880  11.35  107.00
Sell  84.90  102.88  1.118  0.2056  13.45  117.50        USD    EURO    RUB     KZT    CNY     GBP
Buy   84.79  101.49  1.101  0.1882  11.35  107.00
Sell  84.90  102.83  1.118  0.2053  13.45  117.50        USD    EURO    RUB     KZT    CNY     GBP
Buy   84.79  101.49  1.101  0.1882  11.35  107.00
Sell  84.90  102.83  1.118  0.2053  13.45  117.50
